scaffold-Z	9400000	9500000	210	32990	100000	0.3299000
scaffold-Z	9500000	9600000	197	33039	100000	0.3303900
scaffold-Z	9600000	9700000	191	32513	100000	0.3251300
scaffold-Z	9700000	9800000	204	33217	100000	0.3321700
scaffold-Z	9800000	9900000	226	39466	100000	0.3946600
scaffold-Z	9900000	10000000	220	44033	100000	0.4403300
scaffold-Z	10000000	10100000	225	34877	100000	0.3487700
scaffold-Z	10100000	10200000	241	45887	100000	0.4588700
scaffold-Z	10200000	10300000	225	40960	100000	0.4096000
scaffold-Z	10300000	10400000	242	40830	100000	0.4083000
scaffold-Z	10400000	10500000	234	41998	100000	0.4199800
scaffold-Z	10500000	10600000	209	37817	100000	0.3781700
scaffold-Z	10600000	10700000	204	41649	100000	0.4164900
scaffold-Z	10700000	10800000	236	48632	100000	0.4863200
scaffold-Z	10800000	10900000	229	40540	100000	0.4054000
scaffold-Z	10900000	11000000	231	42349	100000	0.4234900
scaffold-Z	11000000	11100000	213	34943	100000	0.3494300
scaffold-Z	11100000	11200000	224	43721	100000	0.4372100
scaffold-Z	11200000	11300000	221	37026	100000	0.3702600
scaffold-Z	11300000	11400000	241	40793	100000	0.4079300
scaffold-Z	11400000	11500000	200	36134	100000	0.3613400
scaffold-Z	11500000	11600000	234	37184	100000	0.3718400
scaffold-Z	11600000	11700000	209	31711	100000	0.3171100
scaffold-Z	11700000	11800000	238	34699	100000	0.3469900
scaffold-Z	11800000	11900000	223	37488	100000	0.3748800
scaffold-Z	11900000	12000000	201	36938	100000	0.3693800
scaffold-Z	12000000	12100000	216	39148	100000	0.3914800
scaffold-Z	12100000	12200000	190	35001	100000	0.3500100
scaffold-Z	12200000	12300000	195	36508	100000	0.3650800
scaffold-Z	12300000	12400000	222	42694	100000	0.4269400
scaffold-Z	12400000	12500000	220	38014	100000	0.3801400
scaffold-Z	12500000	12600000	254	44858	100000	0.4485800
scaffold-Z	12600000	12700000	204	39015	100000	0.3901500
scaffold-Z	12700000	12800000	177	36205	100000	0.3620500
scaffold-Z	12800000	12900000	216	48080	100000	0.4808000
scaffold-Z	12900000	13000000	217	35988	100000	0.3598800
scaffold-Z	13000000	13100000	185	30715	100000	0.3071500
scaffold-Z	13100000	13200000	227	38659	100000	0.3865900
scaffold-Z	13200000	13300000	192	44475	100000	0.4447500
scaffold-Z	13300000	13400000	195	33465	100000	0.3346500
scaffold-Z	13400000	13500000	213	39928	100000	0.3992800
scaffold-Z	13500000	13600000	175	34425	100000	0.3442500
scaffold-Z	13600000	13700000	193	40813	100000	0.4081300
scaffold-Z	13700000	13800000	183	33378	100000	0.3337800
scaffold-Z	13800000	13900000	228	40176	100000	0.4017600
scaffold-Z	13900000	14000000	193	39514	100000	0.3951400
scaffold-Z	14000000	14100000	204	31354	100000	0.3135400
scaffold-Z	14100000	14200000	198	49676	100000	0.4967600
scaffold-Z	14200000	14300000	187	35257	100000	0.3525700
scaffold-Z	14300000	14400000	194	30589	100000	0.3058900
scaffold-Z	14400000	14500000	199	40312	100000	0.4031200
scaffold-Z	14500000	14600000	200	43854	100000	0.4385400
scaffold-Z	14600000	14700000	196	57043	100000	0.5704300
scaffold-Z	14700000	14800000	210	48248	100000	0.4824800
scaffold-Z	14800000	14900000	186	48212	100000	0.4821200
scaffold-Z	14900000	15000000	168	30912	100000	0.3091200
scaffold-Z	15000000	15100000	187	38821	100000	0.3882100
scaffold-Z	15100000	15200000	169	46396	100000	0.4639600
scaffold-Z	15200000	15300000	194	38300	100000	0.3830000
scaffold-Z	15300000	15400000	204	40007	100000	0.4000700
scaffold-Z	15400000	15500000	180	33524	100000	0.3352400
scaffold-Z	15500000	15600000	149	24491	100000	0.2449100
scaffold-Z	15600000	15700000	223	51150	100000	0.5115000
scaffold-Z	15700000	15800000	168	37078	100000	0.3707800
scaffold-Z	15800000	15900000	198	34758	100000	0.3475800
scaffold-Z	15900000	16000000	214	37131	100000	0.3713100
scaffold-Z	16000000	16100000	232	40686	100000	0.4068600
scaffold-Z	16100000	16200000	192	45975	100000	0.4597500
