txid	ODPE_1	RVG_11	RVG_4	Avg1DPE	Median1DPE
crovir-transcript-7644	21.34392957271552	15.157973717291462	21.55989331370268	19.353932201236553	21.34392957271552
crovir-transcript-7649	24.163624729070175	15.737042376154283	21.458209810766647	20.452958971997035	24.163624729070175
crovir-transcript-7645	8.826057833707976	7.060349194594737	5.327204146160405	7.071203724821039	8.826057833707976
crovir-transcript-7650	1.4213042904205542	5.329515873202935	4.679271055739068	3.8100304064541857	1.4213042904205542
crovir-transcript-7646	0	0	0	0	0
crovir-transcript-7608	341.51363119246685	293.6735166001694	239.71334860690618	291.6334987998475	341.51363119246685
crovir-transcript-7643	0	0	0	0	0
crovir-transcript-7642	0	0	0	0	0
crovir-transcript-7640	207.89498983061029	283.4417484161754	332.72426850155887	274.6870022494482	207.89498983061029
crovir-transcript-7641	0.0916835462745512	0.7563360081617596	0.07546099861611605	0.30782685101747564	0.0916835462745512
crovir-transcript-7639	8.947121259364485	15.362067463258018	9.398804371885877	11.23599769816946	8.947121259364485
crovir-transcript-7638	4.91894743297236	8.406792776554145	9.171285752576948	7.499008654034484	4.91894743297236
crovir-transcript-7661	0	0.3726973846401626	0	0.12423246154672087	0
crovir-transcript-7663	1.1025758351028112	1.6537473232707087	1.3263247181832607	1.3608826255189268	1.1025758351028112
crovir-transcript-7664	9.501540003309893	14.882693669102629	19.303349153336256	14.562527608582926	9.501540003309893
crovir-transcript-7662	2.598550928090877	5.387792458622799	6.7098403090971095	4.898727898603595	2.598550928090877
crovir-transcript-7625	0	0	0	0	0
crovir-transcript-7624	0	0	0	0	0
crovir-transcript-7626	0	0	0	0	0
crovir-transcript-7618	0	0.7106021164270578	0	0.23686737214235262	0
crovir-transcript-7619	0	0	0	0	0
crovir-transcript-7620	0	0	0	0	0
crovir-transcript-7621	0	0	0	0	0
crovir-transcript-7671	6.334730870718066	20.37048444486576	5.6088487238426445	10.771354679808823	6.334730870718066
crovir-transcript-7674	10.60329582293305	11.132676836121256	11.248315849734604	10.99476283626297	10.60329582293305
crovir-transcript-7672	0.5933713173242672	0.8899943173878102	3.0000473537510075	1.4944709961543616	0.5933713173242672
