Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0861.1,TP73,0.07,0,0,29,0,Down,26306,0.995159296807886,4,0,13130,23,Down,0.999999999956377,-6.14798519169044,5.956120380496252,0.000000000018945
MA0819.1,CLOCK,0.03,0,0,216,0,Down,26520,0.972644697171667,4,0,13130,130,Down,0.999999999955486,-4.911326619244315,3.482803235604006,0.000000000019332
MA0079.4,SP1,0.09,0,0,576,0,Down,27288,0.892150673571861,4,0,13130,514,Down,0.999999999971667,-3.921765984082274,1.503681965279922,0.000000000012305
MA1581.1,ZBTB6,0.11,1,0.3,1581,0.1,Up,29875,0.633516053977971,4,1,13130,1443,Up,0.372454116408212,-2.385120671050688,1.600316340659065,0.428927221487774
MA1579.1,ZBTB26,0.06,1,0.3,9669,0.7,Down,34058.5,0.303692415545044,4,1,13130,6609,Down,0.371700497561035,-1.28763565590037,-0.594653689641573,-0.429806857554079
MA0076.2,ELK4,0.15,0,0,13770,1,Down,41718,0.041473787287031,4,0,13130,7729,Down,0.028662294529275,-1.967199928592166,-2.405450145700295,-1.542689045567606
MA0139.1,CTCF,0.03,0,0,6,0,Down,26272,0.998737200643311,4,0,13130,6,Down,0.999999999981179,-7.075059758458711,7.810269514032799,0.000000000008174
MA0686.1,SPDEF,0.12,1,0.3,978,0.1,Up,31022,0.52996323144569,4,1,13130,879,Up,0.242279205618631,-2.742528483432699,2.315131965423086,0.615683858964534
MA1105.2,GRHL2,0.14,0,0,5259,0.4,Down,34580,0.272497934633352,4,0,13130,4160,Down,0.314778606524177,-2.414009015801845,-1.511831971280936,-0.501994791510617
MA0494.1,Nr1h3::Rxra,0.05,0,0,40,0,Down,26328,0.992844229920334,4,0,13130,34,Down,0.99999999997078,-5.871017389140174,5.402184775395722,0.00000000001269
MA0071.1,RORA,0.11,0,0,7676,0.6,Down,37468,0.139346831192603,4,0,13130,5604,Down,0.141128696405627,-2.199094640127703,-1.941660722629221,-0.850384669991381
MA0596.1,SREBF2,0.12,2,0.5,5405,0.4,Up,29861,0.634831611171026,4,2,13130,4305,Up,0.601767229433667,-1.228333033608562,0.760672254107224,0.220571466419201
MA0671.1,NFIX,0.05,10,2.5,34754,2.6,Down,32661.5,0.398503755916701,4,2,13130,11681,Down,0.062863682460241,-0.508346610341655,-0.67930059242659,-1.201600182253849
MA0595.1,SREBF1,0.1,1,0.3,2955,0.2,Up,27464,0.873829555959245,4,1,13130,2601,Up,0.58656586749521,-1.960234371180333,0.750543740918354,0.231683212391556
