Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0844.1,XBP1,0.15,0,0,997,0.1,Down,112296,0.632450936650496,16,0,13130,907,Down,0.622030452485425,-4.449637260045772,-1.189513718625364,-0.206188353214903
MA0861.1,TP73,0.12,1,0.1,329,0,Up,109576,0.764946982279665,16,1,13130,249,Up,0.264630808693548,-4.58858492345812,2.258306609641645,0.577359596026407
MA0819.1,CLOCK,0.07,4,0.3,1223,0.1,Up,119212.5,0.350210121290514,16,3,13130,626,Up,0.038329092901213,-3.313251365797596,2.152424336993493,1.416471458665275
MA0079.4,SP1,0.12,0,0,960,0.1,Down,111640,0.66353362432026,16,0,13130,825,Down,0.619960594201985,-4.5179519740307,-1.052884290655508,-0.207635914154183
MA1581.1,ZBTB6,0.01,1,0.1,236,0,Up,109739.5,0.756737366379305,16,1,13130,233,Up,0.249887626774201,-4.636393556271919,2.353923875269244,0.602255247501896
MA1579.1,ZBTB26,0.02,9,0.6,3538,0.3,Up,126835.5,0.150816719836218,16,7,13130,3041,Up,0.070306981242512,-1.623785234247067,0.972563420994264,1.153001548883942
MA0076.2,ELK4,0.11,1,0.1,4364,0.3,Down,124981.5,0.188696147956191,16,1,13130,3262,Down,0.142135834415828,-2.734151832954446,-1.450559571365704,-0.847296416603802
MA0139.1,CTCF,0.12,1,0.1,531,0,Up,107576,0.867243604532306,16,1,13130,502,Up,0.464516230104912,-4.083543033093605,1.248222828912614,0.332999107242216
MA0686.1,SPDEF,0.15,0,0,1775,0.1,Down,117032,0.429262723698591,16,0,13130,1499,Down,0.244394589102402,-4.087381273052959,-1.914025692610991,-0.611908413605352
MA1105.2,GRHL2,0.13,7,0.4,4861,0.4,Up,113886.5,0.559813893064803,16,3,13130,4009,Down,0.419473205744482,-1.974233403976409,-0.525611586648881,-0.377295774928153
MA0494.1,Nr1h3::Rxra,0.14,1,0.1,688,0.1,Up,106685,0.913654331228474,16,1,13130,612,Up,0.534426201113221,-3.940749909181784,0.962636581088972,0.272112258017634
MA0071.1,RORA,0.14,18,1.1,12460,0.9,Up,119522,0.339788857126979,16,11,13130,7593,Up,0.45412029950211,-0.655458552782328,0.269252778961774,0.34282908439124
MA0596.1,SREBF2,0.11,11,0.7,3844,0.3,Up,138988,0.025241543580261,16,9,13130,3256,Up,0.007100226601466,-1.403997164097385,1.215061116365034,2.14872779068995
MA0671.1,NFIX,0.01,13,0.8,8932,0.7,Up,116921.5,0.433527113076176,16,10,13130,6289,Up,0.318158499582096,-0.856990657314175,0.409827921468964,0.497356470126026
MA0595.1,SREBF1,0.1,4,0.3,2955,0.2,Up,109856,0.750904344674894,16,4,13130,2601,Up,0.539000814461349,-2.104987679777826,0.461037123723369,0.26841057856873
MA0145.2,Tcfcp2l1,0.04,1,0.1,252,0,Up,109634,0.762031625272926,16,1,13130,246,Up,0.261887323147183,-4.597311007937795,2.275758778600995,0.58188552341697
MA0833.2,ATF4,0.08,4,0.3,1525,0.1,Up,119930,0.326358118951043,16,4,13130,1391,Up,0.081497088973018,-2.556339079100368,1.363739922368455,1.088857903720561
MA0628.1,POU6F1,0.02,4,0.3,6812,0.5,Down,114687,0.524852682650793,16,2,13130,2785,Down,0.548003661308223,-2.479689828715359,-0.485552391511465,-0.261216539908613
MA0442.2,SOX10,0.01,2,0.1,3550,0.3,Down,116651,0.44406895349531,16,2,13130,3036,Down,0.551160242043564,-2.417453302118611,-0.610025444704961,-0.258722117812772
MA0670.1,NFIA,0.01,13,0.8,8923,0.7,Up,116960,0.432038556805,16,10,13130,6287,Up,0.318106224256363,-0.857220075307822,0.410286757456258,0.497427833144299
MA0820.1,FIGLA,0.04,7,0.4,5880,0.4,Down,119781.5,0.331206039411266,16,3,13130,4441,Down,0.291402297537293,-1.900421077509171,-0.673236239583357,-0.535507028393638
MA0004.1,Arnt,0.08,12,0.8,5778,0.4,Up,125058.5,0.186994828566852,16,7,13130,3276,Up,0.089090605010449,-1.570098970487999,0.865190893476127,1.050168091779611
MA1466.1,ATF6,0.14,0,0,191,0,Down,106496,0.923542500557451,16,0,13130,182,Down,0.999999999966479,-5.606637849603638,1.124487460490369,0.000000000014558
MA0488.1,JUN,0.08,2,0.1,913,0.1,Up,111438,0.67322587780256,16,2,13130,832,Up,0.26982545446325,-3.350896898064335,1.256861747186488,0.568917082790583
MA0741.1,KLF16,0.08,7,0.4,5648,0.4,Up,112784.5,0.609715560576139,16,5,13130,2961,Up,0.378563309860147,-1.86674218177118,0.563559362100048,0.421861479905836
MA0077.1,SOX9,0.12,38,2.4,20848,1.6,Up,139152.5,0.024542480443102,16,16,13130,9629,Up,0.009770493359157,-0.223694529557315,0.44738905911463,2.010083506112365
MA0608.1,Creb3l2,0.11,5,0.3,2818,0.2,Up,116600.5,0.446053109558165,16,4,13130,1708,Up,0.145411828357664,-2.408294409551538,1.067650583270794,0.837400264855754
MA1127.1,FOSB,0.07,1,0.1,357,0,Up,109962.5,0.745584429402268,16,1,13130,197,Up,0.215696173386941,-4.757178504594518,2.595493771914441,0.6661575595413
MA0752.1,ZNF410,0,0,0,0,0,Up,105040,1,16,0,13130,0,Up,0.999999999970896,-9.862514176487329,9.63624011425775,0.00000000001264
MA1566.1,TBX3,0.03,1,0.1,2945,0.2,Down,118782,0.365038888860711,16,1,13130,2514,Down,0.33622008806822,-2.922005007087358,-1.074853223099879,-0.473376342423748
MA0607.1,Bhlha15,0.13,41,2.6,32339,2.5,Up,110842.5,0.702111006795504,16,14,13130,10054,Up,0.389399331380285,-0.285746819309586,0.198667390157409,0.409604798522463
MA0657.1,KLF13,0.08,0,0,26,0,Down,105248,0.989061072906437,16,0,13130,26,Down,0.999999999948829,-6.998553949205728,3.90831965969455,0.000000000022223
MA0624.1,NFATC1,0,1,0.1,154,0,Up,110410.5,0.72334108474622,16,1,13130,149,Up,0.167831250101834,-4.958032089027697,2.997200940780801,0.775127170544383
MA0839.1,CREB3L1,0.15,1,0.1,358,0,Up,108853.5,0.801530188369988,16,1,13130,343,Up,0.34590548325796,-4.3579497817177,1.797036326160806,0.461042553539844
MA1643.1,NFIB,0,0,0,0,0,Up,105040,1,16,0,13130,0,Up,0.999999999970896,-9.862514176487329,9.63624011425775,0.00000000001264
MA1151.1,RORC,0.12,2,0.1,6581,0.5,Down,133128,0.06410866206863,16,2,13130,4992,Down,0.039061814817225,-2.058776772877979,-1.327378503186223,-1.408247583198778
MA0160.1,NR4A2,0.12,35,2.2,20188,1.5,Up,133686,0.058998562359133,16,15,13130,9888,Up,0.141658273488128,-0.249648032357727,0.318900446772299,0.848758055627762
MA0598.3,EHF,0.04,3,0.2,866,0.1,Up,118052,0.391065141124968,16,3,13130,829,Up,0.076346333321877,-3.110787629980595,1.74749686535949,1.117211815926676
MA1493.1,HES6,0.09,1,0.1,245,0,Up,109742.5,0.756586984219342,16,1,13130,232,Up,0.248957038429657,-4.639489473129053,2.360115708983512,0.603875590987433
