Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0819.1,CLOCK,0.04,0,0,54,0,Down,2660,0.923371170579705,4,0,1294,36,Down,0.9999999999989,-4.159139846231203,1.978429689577781,0.000000000000478
MA0079.4,SP1,0.1,0,0,95,0.1,Down,2746,0.832825257771201,4,0,1294,79,Down,0.999999999997849,-3.597610648029034,0.855371293173443,0.000000000000934
MA1581.1,ZBTB6,0.14,0,0,416,0.3,Down,3232,0.38959655581928,4,0,1294,322,Down,0.577487254133175,-2.587474450515904,-1.164901101852818,-0.238457596753075
MA1579.1,ZBTB26,0.01,0,0,43,0,Down,2674,0.908531234604257,4,0,1294,43,Down,0.999999999999786,-4.032580377746847,1.72531075260907,0.000000000000093
MA0076.2,ELK4,0.13,1,0.3,1115,0.9,Down,3358.5,0.303316919184754,4,1,1294,639,Down,0.624565734938586,-1.301170600869815,-0.567583799702682,-0.204421845810739
MA0139.1,CTCF,0.04,0,0,4,0,Down,2596,0.991472716647191,4,0,1294,4,Down,0.999999999998588,-5.669089624950057,4.998329247015487,0.000000000000613
MA0686.1,SPDEF,0.12,3,0.8,93,0.1,Up,4349.5,0.018609169752921,4,3,1294,83,Up,0.001071623495601,-2.158522518405384,3.591904878041351,2.969957772949172
MA1105.2,GRHL2,0,0,0,3,0,Down,2594,0.99360448421901,4,0,1294,3,Down,0.999999999997194,-5.85037466464241,5.360899326400195,0.000000000001219
MA0494.1,Nr1h3::Rxra,0.11,1,0.3,20,0,Up,3196.5,0.416262115503809,4,1,1294,19,Up,0.060291464258239,-3.81886976587951,4.467814530316707,1.219744168588602
MA0071.1,RORA,0.13,4,1,517,0.4,Up,4228,0.02845530314653,4,4,1294,380,Up,0.007575806935482,-0.883213303198283,1.766426606396566,2.120571101576461
MA0596.1,SREBF2,0.14,0,0,500,0.4,Down,3340,0.315074364711796,4,0,1294,376,Down,0.329893777040485,-2.475799098335248,-1.38825180621413,-0.481625876702212
MA0671.1,NFIX,0.1,14,3.5,6706,5.2,Down,3157,0.447162961335297,4,3,1294,1259,Down,0.106527318512524,-0.201056961275289,-0.323026236218838,-0.972539004827693
MA0595.1,SREBF1,0.15,0,0,582,0.4,Down,3428,0.261779680488341,4,0,1294,420,Down,0.311179371703515,-2.39607113054364,-1.547707741797345,-0.506989200410719
MA0145.2,Tcfcp2l1,0.11,0,0,457,0.4,Down,3248,0.37792587376282,4,0,1294,330,Down,0.577561540213096,-2.569798894917366,-1.200252213049893,-0.238401734118017
MA0833.2,ATF4,0.07,0,0,90,0.1,Down,2762,0.81618493827225,4,0,1294,87,Down,0.999999999998765,-3.528446569755047,0.717043136625469,0.000000000000536
MA0628.1,POU6F1,0.04,0,0,268,0.2,Down,2832,0.744446424097994,4,0,1294,122,Down,0.999999999999472,-3.285733156169927,0.231616309455228,0.000000000000229
MA0442.2,SOX10,0.01,2,0.5,159,0.1,Up,3018.5,0.565206919650826,4,1,1294,137,Up,0.362479866099397,-2.409926971104623,1.649928940766933,0.44071611125787
MA0820.1,FIGLA,0.01,1,0.3,38,0,Up,3165,0.440801265325119,4,1,1294,34,Up,0.103688644385578,-3.407308646921549,3.644692292400785,0.984268803405774
MA0670.1,NFIA,0.01,0,0,589,0.5,Down,3452,0.248394668401414,4,0,1294,432,Down,0.307995324539954,-2.375773964409169,-1.588302074066288,-0.511455876168095
MA0004.1,Arnt,0.08,3,0.8,519,0.4,Up,3285.5,0.351428339188101,4,2,1294,274,Up,0.200281090127933,-1.542756908724931,1.389520004339963,0.698360053406256
MA1466.1,ATF6,0.04,0,0,3,0,Down,2594,0.99360448421901,4,0,1294,3,Down,0.999999999997194,-5.85037466464241,5.360899326400195,0.000000000001219
MA0488.1,JUN,0.15,0,0,409,0.3,Down,3174,0.433706760471875,4,0,1294,293,Down,0.580203434867219,-2.655443779116186,-1.028962444652254,-0.236419704455341
MA0741.1,KLF16,0.1,0,0,570,0.4,Down,3238,0.385194593007523,4,0,1294,325,Down,0.577475157138354,-2.580795259088394,-1.178259484707837,-0.238466694292609
MA0077.1,SOX9,0.12,7,1.8,678,0.5,Up,4597.5,0.007262023060835,4,4,1294,461,Up,0.016334447956297,-0.743996206127169,1.487992412254337,1.786895538481789
MA0608.1,Creb3l2,0.14,2,0.5,574,0.4,Up,3120,0.477255725686577,4,2,1294,287,Up,0.216304379146962,-1.509379005311662,1.322764197513424,0.664934688050001
MA1127.1,FOSB,0.08,0,0,96,0.1,Down,2686,0.895836448600285,4,0,1294,49,Down,0.99999999999847,-3.939373815631408,1.538897628378189,0.000000000000664
MA0752.1,ZNF410,0.08,0,0,10,0,Down,2594,0.99360448421901,4,0,1294,3,Down,0.999999999997194,-5.85037466464241,5.360899326400195,0.000000000001219
MA1566.1,TBX3,0.04,0,0,333,0.3,Down,3170,0.436851691836669,4,0,1294,291,Down,0.58057235222,-2.660376089070964,-1.019097824742698,-0.236143649806772
MA0607.1,Bhlha15,0.15,0,0,2007,1.6,Down,3934,0.072147956213855,4,0,1294,673,Down,0.053487660154949,-2.05628505794006,-2.227279887004505,-1.271746400123685
MA0657.1,KLF13,0.07,0,0,4,0,Down,2596,0.991472716647191,4,0,1294,4,Down,0.999999999998588,-5.669089624950057,4.998329247015487,0.000000000000613
MA0624.1,NFATC1,0.03,1,0.3,1035,0.8,Down,3374.5,0.293386494376474,4,1,1294,653,Down,0.370605332978704,-1.285549162412917,-0.598826676616478,-0.431088335512105
MA0839.1,CREB3L1,0.06,0,0,4,0,Down,2596,0.991472716647191,4,0,1294,4,Down,0.999999999998588,-5.669089624950057,4.998329247015487,0.000000000000613
MA1643.1,NFIB,0.07,0,0,3,0,Down,2594,0.99360448421901,4,0,1294,3,Down,0.999999999997194,-5.85037466464241,5.360899326400195,0.000000000001219
MA1151.1,RORC,0.05,1,0.3,16,0,Up,3203,0.41130071315929,4,1,1294,16,Up,0.051426343926611,-3.939373815631407,4.708822629820501,1.288814350050649
MA0160.1,NR4A2,0,1,0.3,29,0,Up,3180,0.429013991366383,4,1,1294,27,Up,0.083628079658742,-3.570891018548304,3.971857035654295,1.077647875751227
MA0598.3,EHF,0.01,1,0.3,9,0,Up,3217,0.400734566420254,4,1,1294,9,Up,0.030497200021448,-4.337607118588841,5.505289235735369,1.515740031835339
MA1493.1,HES6,0.09,0,0,32,0,Down,2648,0.936112578552704,4,0,1294,30,Down,0.999999999998673,-4.288683456889769,2.237516910894912,0.000000000000576
