Source,pi
All_copies,0.04143
All_copies,0.02216
All_copies,0.04219
All_copies,0.04834
All_copies,0.02216
All_copies,0.08007
All_copies,0.03304
All_copies,0.03314
All_copies,0.04
All_copies,0.02585
All_copies,0.07816
All_copies,0.0303
All_copies,0.09722
All_copies,0.04505
All_copies,0.14067
All_copies,0.07306
All_copies,0.07076
All_copies,0.03869
All_copies,0.0239
All_copies,0.06869
All_copies,0.02786
All_copies,0.06193
All_copies,0.02646
All_copies,0.03509
All_copies,0.09524
All_copies,0.05247
All_copies,0.09396
All_copies,0.06098
All_copies,0.05333
All_copies,0.10579
All_copies,0.09577
All_copies,0.10526
All_copies,0.13128
All_copies,0.12798
All_copies,0.13215
All_copies,0.12547
RegPeaks,0.03704
RegPeaks,0.03595
RegPeaks,0.03333
RegPeaks,0.04643
RegPeaks,0.03039
RegPeaks,0.03922
RegPeaks,0.05411
RegPeaks,0.04352
RegPeaks,0.03268
RegPeaks,0.05888
RegPeaks,0.03101
RegPeaks,0.05959
RegPeaks,0.03887
RegPeaks,0.04457
Other_focal_SVSP,0.04801
Other_focal_SVSP,0.05128
Other_focal_SVSP,0.04938
Other_focal_SVSP,0.05031
Other_focal_SVSP,0.0591
Other_focal_SVSP,0.03899
Other_focal_SVSP,0.02941
Other_focal_SVSP,0.02941
Other_focal_SVSP,0.04248
Other_focal_SVSP,0.04082
Other_focal_SVSP,0.02098
Other_focal_SVSP,0.02614
Other_focal_SVSP,0.03724
Other_focal_SVSP,0.03139
Other_focal_SVSP,0.05053
Other_focal_SVSP,0.02288
Other_focal_SVSP,0.04969
Other_focal_SVSP,0.04247
