Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA0861.1,TP73,0.13,0,0,15,0,Down,6732,0.920785697711518,17,0,781,11,Down,0.999999999997106,-5.607911561943809,0.957257089997686,0.000000000001257
MA0819.1,CLOCK,0.03,1,0.1,16,0,Up,6950,0.740415661066175,17,1,781,9,Up,0.194725345331774,-4.953247532889945,2.817854033332268,0.710577517296885
MA0079.4,SP1,0.15,0,0,141,0.2,Down,7488.5,0.365975808797588,17,0,781,100,Down,0.150567151283219,-4.044166694382851,-2.170232645124231,-0.822269766332571
MA1581.1,ZBTB6,0.13,13,0.8,204,0.3,Up,7464.5,0.379666361895837,17,5,781,151,Up,0.34915834754804,-2.018389738917191,0.697076681219044,0.45697757054774
MA1579.1,ZBTB26,0.02,16,0.9,96,0.1,Up,10328,8.707187403489414E-5,17,11,781,88,Up,4.171264223983731E-7,-1.87410878690231,2.536775452028713,6.379732299393282
MA0076.2,ELK4,0.02,7,0.4,33,0,Up,7989.5,0.150750114552224,17,4,781,29,Up,0.003952045340542,-3.343408514570239,2.768100998135169,2.403178081535208
MA0139.1,CTCF,0.09,1,0.1,19,0,Up,6875.5,0.800989452064777,17,1,781,18,Up,0.338915778704625,-4.472484606797263,1.856328181146904,0.469908211496551
MA0686.1,SPDEF,0.12,2,0.1,70,0.1,Up,6901.5,0.779692587502866,17,2,781,60,Up,0.385999387682021,-3.249296873891337,0.883883903667466,0.413413384257081
MA1105.2,GRHL2,0.14,17,1,240,0.3,Up,9751.5,9.299564337621469E-4,17,12,781,193,Up,1.108775395583605E-4,-1.249669567012748,1.528485479685012,3.955156419890304
MA0494.1,Nr1h3::Rxra,0.13,0,0,24,0,Down,6817,0.849428429717543,17,0,781,21,Down,0.999999999997209,-5.156560162621266,0.0545542913526,0.000000000001212
MA0071.1,RORA,0.05,9,0.5,119,0.2,Up,8225,0.091534462021421,17,6,781,101,Up,0.017991481836376,-2.186804722309181,1.515922847010614,1.744933065289364
MA0596.1,SREBF2,0.13,18,1.1,214,0.3,Up,9369.5,0.003677021083037,17,10,781,174,Up,0.001428468744785,-1.44999221547811,1.426053242623806,2.845129257637499
MA0595.1,SREBF1,0.11,13,0.8,158,0.2,Up,9151.5,0.007523035322832,17,9,781,129,Up,7.57079775791938E-4,-1.737324639407246,1.71193827181173,3.120858355162045
MA0671.1,NFIX,0.01,20,1.2,371,0.5,Up,8965,0.013345931407801,17,11,781,275,Up,0.018913320169914,-1.05495730765823,0.898472493540553,1.72323222552291
